timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775138445855,182,加入购物车,301,Moved Permanently,Thread Group 1-1,text,true,,442,270,1,1,http://demo.opencart.cn/Path:%20/index.php?route=checkout/cart/add,182,0,140
1775138446038,42,查看购物车,301,Moved Permanently,Thread Group 1-1,text,true,,436,155,1,1,http://demo.opencart.cn/index.php?route=product/manufacturer,42,0,0
1775138446080,321,搜索商品,200,OK,Thread Group 1-1,text,true,,39820,160,2,2,https://demo.opencart.cn/index.php?route=product/search&search=mac,319,0,153
1775138446357,94,加入购物车,301,Moved Permanently,Thread Group 1-2,text,true,,442,270,2,2,http://demo.opencart.cn/Path:%20/index.php?route=checkout/cart/add,94,0,48
1775138446452,43,查看购物车,301,Moved Permanently,Thread Group 1-2,text,true,,436,155,2,2,http://demo.opencart.cn/index.php?route=product/manufacturer,43,0,0
1775138446401,114,注册新用户,200,OK,Thread Group 1-1,text,true,,27271,441,2,2,https://demo.opencart.cn/index.php?route=account/register,114,0,0
1775138446516,112,查看特价商品,200,OK,Thread Group 1-1,text,true,,29244,209,2,2,https://demo.opencart.cn/index.php?route=product/special,112,0,0
1775138446629,128,查看品牌列表,200,OK,Thread Group 1-1,text,true,,23837,214,2,2,https://demo.opencart.cn/index.php?route=product/manufacturer,128,0,0
1775138446496,264,搜索商品,200,OK,Thread Group 1-2,text,true,,39820,160,2,2,https://demo.opencart.cn/index.php?route=product/search&search=mac,262,0,96
1775138446758,42,加入购物车,301,Moved Permanently,Thread Group 1-1,text,true,,442,292,2,2,http://demo.opencart.cn/Path:%20/index.php?route=checkout/cart/add,42,0,0
1775138446800,46,查看购物车,301,Moved Permanently,Thread Group 1-1,text,true,,436,177,2,2,http://demo.opencart.cn/index.php?route=product/manufacturer,46,0,0
1775138446760,116,注册新用户,200,OK,Thread Group 1-2,text,true,,27271,441,3,3,https://demo.opencart.cn/index.php?route=account/register,116,0,0
1775138446870,80,加入购物车,301,Moved Permanently,Thread Group 1-3,text,true,,442,270,3,3,http://demo.opencart.cn/Path:%20/index.php?route=checkout/cart/add,80,0,44
1775138446950,40,查看购物车,301,Moved Permanently,Thread Group 1-3,text,true,,436,155,3,3,http://demo.opencart.cn/index.php?route=product/manufacturer,40,0,0
1775138446846,151,搜索商品,200,OK,Thread Group 1-1,text,true,,39716,219,3,3,https://demo.opencart.cn/index.php?route=product/search&search=mac,150,0,0
1775138446876,140,查看特价商品,200,OK,Thread Group 1-2,text,true,,29244,209,3,3,https://demo.opencart.cn/index.php?route=product/special,140,0,0
1775138446997,126,注册新用户,200,OK,Thread Group 1-1,text,true,,27271,441,3,3,https://demo.opencart.cn/index.php?route=account/register,125,0,0
1775138447017,141,查看品牌列表,200,OK,Thread Group 1-2,text,true,,23837,214,3,3,https://demo.opencart.cn/index.php?route=product/manufacturer,141,0,0
1775138447165,59,加入购物车,301,Moved Permanently,Thread Group 1-2,text,true,,442,292,3,3,http://demo.opencart.cn/Path:%20/index.php?route=checkout/cart/add,59,0,0
